,mediaid,tags
0,2c369,"[u'nu disco', u'electronic', u'indie', u'german']"
1,2c3b0,"[u'hip hop', u'rap', u'philly', u'meek mill']"
2,2c135,"[u'indie', u'rock', u'punk', u'hardcore', u'pop', u'singer-songwriter', u'alternative', u'alternative pop', u'american', u'synthpop']"
3,2c0ff,"[u'indie rock', u'electronic', u'indie', u'synthpop', u'australian']"
4,2c3tm,"[u'pop', u'electronic', u'swedish', u'female vocalist', u'dance']"
5,2c12f,[]
6,2c05m,[u'electronic']
7,2c48m,"[u'indie', u'electronic', u'chillout', u'need to scrobble', u'downtempo']"
8,2c09d,[]
9,2c2wx,"[u'moombahton', u'dubstep', u'electro house', u'electro', u'electronic', u'electronica']"
10,15sj5,"[u'house', u'nu-disco', u'hipster dance party', u'dance dance dance', u'getupanddance', u'upbeat', u'awesome']"
11,2bamw,"[u'electronic', u'synthpop', u'street punk', u'indie dance', u'punk', u'dance', u'electronica', u'indie', u'house', u'nu disco']"
12,2c3hh,[]
13,2a90h,"[u'hardcore', u'jd beatty', u'brett lane', u'2009', u'garage psychedelic', u'robby fronzo', u'5432fun', u'tempe', u'60s garage', u'shitcore']"
14,2c2fa,"[u'chillwave', u'electronic', u'lo-fi', u'psychedelic', u'electronica']"
15,2c1kb,"[u'experimental', u'electronic', u'indie', u'downtempo', u'kid a-esque']"
16,2b8vq,"[u'soul', u'electronic', u'cosmic dubstep', u'indie pop']"
17,2bw9n,[]
18,2bxam,"[u'pop', u'hip hop']"
19,22ksd,"[u'lo-fi', u'psychedelic', u'folk', u'experimental', u'garage rock', u'psychedelic rock']"
20,23383,"[u'psychedelic rock', u'psychedelic', u'indie rock', u'australian', u'rock']"
21,2bt0t,"[u'electronic', u'indie', u'psychedelic', u'alternative', u'indie pop']"
22,2bxcb,[]
23,2asey,"[u'bombelki', u'indie', u'alternative rock', u'indie rock', u'alternative', u'epic', u'perfect', u'2013', u'2013 single', u'hammer stimmer']"
24,2c1g8,"[u'experimental', u'psychedelic', u'freak folk', u'indie', u'folk']"
25,2c321,[]
26,2c14y,[]
27,2c09y,[]
28,2c3ac,"[u'pop', u'electronic', u'swedish', u'female vocalist', u'dance']"
29,2c1d3,[]
30,2c24a,[]
31,2c41v,[]
32,2c367,[]
33,2c389,[]
34,2ahss,[]
35,zjt7,[]
36,yqkf,[]
37,25hg1,[]
38,2c3pf,[]
39,2c3mc,[]
40,29gay,[]
41,21rvk,[]
42,27cmn,[]
43,27msa,[]
44,2bmqa,[]
45,30xf,[]
46,k47r,[]
47,20jv6,[]
48,2b5c3,[]
49,v55s,[]
50,2atnn,[]
51,2aade,[]
52,24y1z,[]
53,29adb,[]
54,20jvd,[]
55,2a1mf,[]
56,2avcn,[]
57,27ams,[]
58,2bfxf,[]
59,227j1,[]
60,25xk6,[]
61,26gx7,[]
62,2bwyg,[]
63,2bwjt,[]
64,2btxp,[]
65,2b1kk,[]
66,2b5et,[]
67,29q40,[]
68,27nrm,[]
69,28ykp,[]
70,2bnef,[]
71,1hcvp,[]
72,1t7dh,[]
73,r65a,[]
74,29s5a,[]
75,2aews,[]
76,2654z,[]
77,trz4,[]
78,2b5tf,[]
79,1696z,[]
80,2bk4b,[]
81,2bzvm,[]
82,2bzkc,[]
83,2bz99,[]
84,2ba6t,[]
85,2b9ng,[]
86,2bd2b,[]
87,2ax54,[]
88,2bxjv,[]
89,2c2et,[]
90,228mk,[]
91,21hnn,[]
92,1y3jj,[]
93,t8q4,[]
94,226ye,[]
95,2b5pr,[]
96,2b9jx,[]
97,2b54c,[]
98,2b6yd,[]
99,2bzsd,[]
